Animal_ID,State,Sex,Age_months,Birth_Weight_kg,Current_Weight_kg,Body_Condition_Score,Frame_Score,Parity,Health_Status,Forage_Type,Dry_Matter_Intake_kg,Crude_Protein_pct,TDN_pct,Water_Intake_L,Mineral_Supplement,Energy_Balance,Avg_Temp_C,Annual_Rainfall_mm,Season,Humidity_pct,Heat_Stress_Index,Altitude_m,Veld_Condition,Herd_Size,Grazing_System,Vaccination_Status,Deworming,Housing_Type,Breeding_Method,Record_Keeping,Avg_Daily_Gain_kg,Calving_Rate_pct,Weaning_Weight_kg,Enteric_CH4_kg,Manure_CH4_kg,Total_CH4_kg,CH4_CO2e_kg,Direct_CO2_kg,N2O_CO2e_kg,Total_CO2e_excl_CH4_kg,Carbon_Seq_kg_CO2,GHG_Gross_CO2e_kg,GHG_Net_CO2e_kg,Carbon_Intensity_kgCO2e_per_kgGain,Intervention_Moringa,Intervention_Tannin,Intervention_Genetic,Intervention_Solar,Num_Interventions,Baseline_Enteric_CH4_kg,Baseline_Manure_CH4_kg,Baseline_Total_CH4_kg,Baseline_Direct_CO2_kg,Baseline_N2O_CO2e_kg,Baseline_Carbon_Seq_kg,Baseline_Gross_GHG_CO2e_kg,Baseline_Net_GHG_CO2e_kg,Baseline_Carbon_Intensity,Int_Enteric_CH4_kg,Int_Manure_CH4_kg,Int_Total_CH4_kg,Int_Direct_CO2_kg,Int_N2O_CO2e_kg,Int_Carbon_Seq_kg,Int_Gross_GHG_CO2e_kg,Int_Net_GHG_CO2e_kg,Int_ADG_kg,Int_Carbon_Intensity,Delta_CH4_kg,Delta_Net_GHG_CO2e_kg,Delta_Pct_Net_GHG_Reduction
BSM-0001,North West,Cow,115,31.1,1058.7,3.6,4,6,Healthy,Native Veld,23.83,9.4,52.6,118.3,Yes,Positive,22.2,562,Winter,71.0,79.1,1122,Good,23,Rotational,Up to date,Occasional,Extensive,Both,Manual,0.792,57.5,199.9,120.0,9.73,129.73,3632.44,172.85,871.62,1044.47,900.0,4676.91,3776.91,13.07,No,Yes,No,No,1,120.0,9.73,129.73,172.85,871.62,900.0,4676.91,3776.91,13.07,101.534,9.73,111.264,172.85,734.234,900.0,4022.476,3122.476,0.8044,10.635,18.466,654.434,17.33
BSM-0002,Free State,Cow,30,32.7,331.2,2.7,3,6,Healthy,Native Veld,7.23,8.3,70.3,23.2,Yes,Positive,15.6,364,Autumn,63.0,66.4,1416,Good,21,Rotational,Up to date,Occasional,Extensive,Natural mating,Manual,1.365,77.7,182.6,120.0,2.76,122.76,3437.28,171.26,233.5,404.76,900.0,3842.04,2942.04,5.91,No,No,No,No,0,120.0,2.76,122.76,171.26,233.5,900.0,3842.04,2942.04,5.91,120.0,2.76,122.76,171.26,233.5,900.0,3842.04,2942.04,1.365,5.905,0.0,0.0,0.0
BSM-0003,Free State,Steer,7,29.9,77.7,2.4,4,0,Healthy,Improved Pasture,1.73,7.8,51.7,6.2,Yes,Neutral,18.1,449,Winter,30.6,67.6,1355,Good,152,Rotational,Up to date,Occasional,Semi-intensive,Natural mating,Manual,0.811,,210.6,38.33,2.15,40.48,1133.44,369.06,52.51,421.57,900.0,1555.01,655.01,2.21,No,No,No,No,0,38.33,2.15,40.48,369.06,52.51,900.0,1555.01,655.01,2.21,38.33,2.15,40.48,369.06,52.51,900.0,1555.01,655.01,0.811,2.213,0.0,0.0,0.0
BSM-0004,North West,Heifer,14,37.1,193.2,2.4,4,0,Healthy,Improved Pasture,5.37,12.1,70.5,13.6,Yes,Positive,23.2,488,Summer,39.0,77.7,1223,Good,98,Rotational,Up to date,Occasional,Intensive,AI,Digital,1.005,,184.2,119.87,15.0,134.87,3776.36,484.68,252.83,737.51,668.54,4513.87,3845.33,10.48,No,No,No,No,0,119.87,15.0,134.87,484.68,252.83,668.54,4513.87,3845.33,10.48,119.87,15.0,134.87,484.68,252.83,668.54,4513.87,3845.33,1.005,10.483,0.0,0.0,0.0
BSM-0005,Limpopo,Heifer,13,34.8,171.2,3.7,7,0,Healthy,Native Veld,3.23,8.0,65.6,16.4,Yes,Neutral,28.3,580,Winter,47.1,87.6,541,Good,166,Rotational,Partial,Regular,Extensive,Natural mating,Manual,0.71,,259.1,83.99,1.06,85.05,2381.4,180.18,100.55,280.73,900.0,2662.13,1762.13,6.8,Yes,No,No,No,1,83.99,1.06,85.05,180.18,100.55,900.0,2662.13,1762.13,6.8,74.337,1.06,75.397,180.18,89.008,900.0,2380.304,1480.304,0.7511,5.4,9.653,281.826,15.99
BSM-0006,Limpopo,Heifer,12,32.1,131.9,4.2,6,0,Healthy,Crop Residue,3.59,8.2,57.3,13.6,Yes,Positive,29.9,597,Spring,41.7,90.0,579,Good,185,Continuous,Not vaccinated,Regular,Extensive,Natural mating,Digital,1.0,,237.5,89.29,1.03,90.32,2528.96,242.6,114.55,357.15,900.0,2886.11,1986.11,5.44,Yes,No,No,No,1,89.29,1.03,90.32,242.6,114.55,900.0,2886.11,1986.11,5.44,77.966,1.03,78.996,242.6,104.982,900.0,2559.47,1659.47,1.0981,4.14,11.324,326.64,16.45
BSM-0007,Limpopo,Heifer,9,37.2,116.5,3.0,8,0,Healthy,Native Veld,2.66,9.7,58.6,9.2,Yes,Positive,23.7,686,Autumn,78.1,82.5,723,Good,257,Rotational,Up to date,Regular,Extensive,AI,Manual,1.092,,182.1,70.93,2.16,73.09,2046.52,187.9,100.4,288.3,900.0,2334.82,1434.82,3.6,Yes,No,No,No,1,70.93,2.16,73.09,187.9,100.4,900.0,2334.82,1434.82,3.6,61.276,2.16,63.436,187.9,89.248,900.0,2053.356,1153.356,1.1749,2.689,9.654,281.464,19.62
BSM-0008,Free State,Heifer,23,32.2,247.1,2.1,7,0,Healthy,Native Veld,5.99,9.5,66.3,22.8,Yes,Positive,15.5,455,Winter,62.6,66.2,1668,Poor,295,Continuous,Up to date,Regular,Extensive,Natural mating,,0.987,,178.7,120.0,1.82,121.82,3410.96,168.95,221.42,390.37,233.81,3801.33,3567.52,9.9,No,No,No,Yes,1,120.0,1.82,121.82,168.95,221.42,233.81,3801.33,3567.52,9.9,120.0,1.82,121.82,18.637,221.42,255.738,3651.017,3395.279,0.987,9.425,0.0,172.241,4.83
BSM-0009,North West,Cow,39,35.3,457.9,2.4,5,7,Healthy,Improved Pasture,12.04,12.4,63.2,46.5,Yes,Neutral,25.5,499,Spring,44.8,82.4,1081,Good,223,Rotational,Up to date,Regular,Semi-intensive,Natural mating,Manual,0.866,94.1,260.0,120.0,15.0,135.0,3780.0,367.18,580.93,948.11,900.0,4728.11,3828.11,12.11,No,Yes,Yes,No,2,120.0,15.0,135.0,367.18,580.93,900.0,4728.11,3828.11,12.11,85.414,15.0,100.414,336.409,490.607,930.122,3638.608,2708.486,0.8616,8.612,34.586,1119.624,29.25
BSM-0010,Free State,Cow,77,32.1,726.9,4.7,4,4,Healthy,Native Veld,15.7,14.4,64.8,62.0,No,Positive,14.4,422,Winter,76.5,65.6,1700,Poor,72,Rotational,Up to date,Occasional,Semi-intensive,Both,Digital,0.63,54.0,163.0,120.0,15.0,135.0,3780.0,185.99,879.7,1065.69,337.9,4845.69,4507.79,19.6,No,No,No,Yes,1,120.0,15.0,135.0,185.99,879.7,337.9,4845.69,4507.79,19.6,120.0,15.0,135.0,64.283,879.7,367.532,4723.983,4356.451,0.63,18.945,0.0,151.339,3.36
